Day,Date Time,Estimated Work Hours,Description
Saturday,2026-04-25 09:00,1.5,"Project kickoff — review business requirements and scope for agent commission platform"
Saturday,2026-04-25 11:00,1.0,"Documentation prep — draft analysis of new requirements (commission hierarchy, fee management)"
Saturday,2026-04-25 14:00,1.5,"Documentation prep — outline roles and workflow (Admin, Agent, Agent Leader, Business Partner)"
Saturday,2026-04-25 16:30,1.0,"Documentation prep — initial Q&A list for stakeholders"
Sunday,2026-04-26 10:00,1.5,"Documentation prep — write decision outcomes for commission structure"
Sunday,2026-04-26 13:00,1.5,"Documentation prep — draft API visit tracking specification"
Sunday,2026-04-26 15:30,1.0,"Documentation prep — sketch admin and agent dashboard requirements"
Sunday,2026-04-26 17:00,1.0,"Documentation prep — payout and refund flow notes"
Monday,2026-04-27 21:30,1.0,"Documentation — refine commission rate tables and override rules"
Monday,2026-04-27 22:45,1.0,"Documentation — fee payment lifecycle (entry, renewal, expiry)"
Tuesday,2026-04-28 21:00,1.0,"Documentation — referral code generation rules"
Tuesday,2026-04-28 22:30,1.0,"Documentation — registration wizard step-by-step plan"
Wednesday,2026-04-29 21:30,1.0,"Documentation — quick reference guide for module owners"
Wednesday,2026-04-29 23:00,1.0,"Documentation — system settings inventory and defaults"
Thursday,2026-04-30 21:00,1.0,"Documentation — notification and inbox spec"
Thursday,2026-04-30 22:30,1.0,"Documentation — activity log and audit requirements"
Friday,2026-05-01 18:00,1.0,"Project setup — repository, code indexing, baseline structure"
Friday,2026-05-01 21:00,1.0,"Project setup — Docker development environment configuration"
Friday,2026-05-01 22:30,1.0,"Project setup — system requirements doc and master task list"
Saturday,2026-05-02 09:30,1.5,"Documentation review — close gaps across all planning documents"
Saturday,2026-05-02 11:30,1.5,"Documentation review — pre-coding consistency check across modules"
Saturday,2026-05-02 14:30,1.0,"Documentation — design system reference update"
Saturday,2026-05-02 16:00,1.5,"Documentation — finalize Q&A resolutions for sales team"
Sunday,2026-05-03 10:00,1.5,"Configuration — lock in commission rates, fees, referral prefix, T&C copy"
Sunday,2026-05-03 12:00,1.0,"Configuration — Stripe payment gateway decision and parameters"
Sunday,2026-05-03 14:00,1.5,"Database — initial migration setup and compatibility fixes"
Sunday,2026-05-03 16:00,1.5,"Database — pre-flight refactor of commission logic"
Monday,2026-05-04 21:30,1.0,"Backend — Phase 0 commission service extraction"
Monday,2026-05-04 22:45,1.0,"Backend — Phase 1 schema and models for hierarchy"
Tuesday,2026-05-05 21:00,1.0,"Backend — fee management service"
Tuesday,2026-05-05 22:30,1.0,"Backend — renewal lifecycle and scheduled jobs"
Wednesday,2026-05-06 21:00,1.0,"Backend — controllers and routes for hierarchy and fees"
Wednesday,2026-05-06 22:30,1.0,"Backend — refund/reversal endpoints"
Thursday,2026-05-07 21:00,1.0,"Design system — fill in shared UI components"
Thursday,2026-05-07 22:30,1.0,"Design system — sign-off and reference documentation"
Friday,2026-05-08 21:00,1.5,"Frontend — apply design system to Admin pages"
Friday,2026-05-08 23:00,1.5,"Frontend — apply design system to Agent pages and shared layouts"
Saturday,2026-05-09 09:00,1.5,"Backend — activity logging and system user consolidation"
Saturday,2026-05-09 11:00,1.5,"Backend — Phase 7 migrations (notifications, verification, payouts)"
Saturday,2026-05-09 14:00,1.5,"Backend — notification and email services"
Saturday,2026-05-09 16:00,1.5,"Backend — registration wizard step 1 (referral check)"
Sunday,2026-05-10 09:30,1.5,"Backend — registration wizard email verification step"
Sunday,2026-05-10 11:30,1.5,"Backend — Stripe payment integration for registration"
Sunday,2026-05-10 14:00,1.5,"Frontend — registration wizard pages"
Sunday,2026-05-10 16:00,1.0,"Frontend — agent inbox and notification UI"
Monday,2026-05-11 21:30,1.0,"QA — feature testing for registration flow"
Monday,2026-05-11 22:45,1.0,"QA — schema fixes uncovered during testing"
Tuesday,2026-05-12 21:00,1.0,"Backend — registration rebuild final pass"
Tuesday,2026-05-12 22:30,1.0,"Backend — controller updates and notification triggers"
Wednesday,2026-05-13 21:00,0.5,"Admin module — agent identification fields"
Wednesday,2026-05-13 21:30,1.0,"Admin module — fee payment status tracking"
Wednesday,2026-05-13 22:30,1.0,"Admin module — agent hierarchy visualization"
Wednesday,2026-05-13 23:30,0.5,"Agent module — profile and tracking API endpoints"
Thursday,2026-05-14 21:00,0.5,"Tooling — frontend test framework setup"
Thursday,2026-05-14 21:30,1.0,"Agent module — agent leader role and downline view"
Thursday,2026-05-14 22:45,1.5,"Sales module — dashboard with commission summary and tracking refactor"
Friday,2026-05-15 00:30,0.5,"Bug fix — database key length adjustment"
